item_id,title,category,tags,description,popularity
item_1,喜剧片电影第1部,喜剧片,"新上映,推荐",这是一部精彩的喜剧片，讲述了一个动人的故事。,99
item_2,爱情片电影第2部,爱情片,"高分,获奖",这是一部精彩的爱情片，讲述了一个动人的故事。,98
item_3,科幻片电影第3部,科幻片,"小众,文艺",这是一部精彩的科幻片，讲述了一个动人的故事。,97
item_4,悬疑片电影第4部,悬疑片,"热门,经典",这是一部精彩的悬疑片，讲述了一个动人的故事。,96
item_5,动画片电影第5部,动画片,"新上映,推荐",这是一部精彩的动画片，讲述了一个动人的故事。,95
item_6,纪录片电影第6部,纪录片,"高分,获奖",这是一部精彩的纪录片，讲述了一个动人的故事。,94
item_7,恐怖片电影第7部,恐怖片,"小众,文艺",这是一部精彩的恐怖片，讲述了一个动人的故事。,93
item_8,动作片电影第8部,动作片,"热门,经典",这是一部精彩的动作片，讲述了一个动人的故事。,92
item_9,喜剧片电影第9部,喜剧片,"新上映,推荐",这是一部精彩的喜剧片，讲述了一个动人的故事。,91
item_10,爱情片电影第10部,爱情片,"高分,获奖",这是一部精彩的爱情片，讲述了一个动人的故事。,90
item_11,科幻片电影第11部,科幻片,"小众,文艺",这是一部精彩的科幻片，讲述了一个动人的故事。,89
item_12,悬疑片电影第12部,悬疑片,"热门,经典",这是一部精彩的悬疑片，讲述了一个动人的故事。,88
item_13,动画片电影第13部,动画片,"新上映,推荐",这是一部精彩的动画片，讲述了一个动人的故事。,87
item_14,纪录片电影第14部,纪录片,"高分,获奖",这是一部精彩的纪录片，讲述了一个动人的故事。,86
item_15,恐怖片电影第15部,恐怖片,"小众,文艺",这是一部精彩的恐怖片，讲述了一个动人的故事。,85
item_16,动作片电影第16部,动作片,"热门,经典",这是一部精彩的动作片，讲述了一个动人的故事。,84
item_17,喜剧片电影第17部,喜剧片,"新上映,推荐",这是一部精彩的喜剧片，讲述了一个动人的故事。,83
item_18,爱情片电影第18部,爱情片,"高分,获奖",这是一部精彩的爱情片，讲述了一个动人的故事。,82
item_19,科幻片电影第19部,科幻片,"小众,文艺",这是一部精彩的科幻片，讲述了一个动人的故事。,81
item_20,悬疑片电影第20部,悬疑片,"热门,经典",这是一部精彩的悬疑片，讲述了一个动人的故事。,80
item_21,动画片电影第21部,动画片,"新上映,推荐",这是一部精彩的动画片，讲述了一个动人的故事。,79
item_22,纪录片电影第22部,纪录片,"高分,获奖",这是一部精彩的纪录片，讲述了一个动人的故事。,78
item_23,恐怖片电影第23部,恐怖片,"小众,文艺",这是一部精彩的恐怖片，讲述了一个动人的故事。,77
item_24,动作片电影第24部,动作片,"热门,经典",这是一部精彩的动作片，讲述了一个动人的故事。,76
item_25,喜剧片电影第25部,喜剧片,"新上映,推荐",这是一部精彩的喜剧片，讲述了一个动人的故事。,75
item_26,爱情片电影第26部,爱情片,"高分,获奖",这是一部精彩的爱情片，讲述了一个动人的故事。,74
item_27,科幻片电影第27部,科幻片,"小众,文艺",这是一部精彩的科幻片，讲述了一个动人的故事。,73
item_28,悬疑片电影第28部,悬疑片,"热门,经典",这是一部精彩的悬疑片，讲述了一个动人的故事。,72
item_29,动画片电影第29部,动画片,"新上映,推荐",这是一部精彩的动画片，讲述了一个动人的故事。,71
item_30,纪录片电影第30部,纪录片,"高分,获奖",这是一部精彩的纪录片，讲述了一个动人的故事。,70
item_31,恐怖片电影第31部,恐怖片,"小众,文艺",这是一部精彩的恐怖片，讲述了一个动人的故事。,69
item_32,动作片电影第32部,动作片,"热门,经典",这是一部精彩的动作片，讲述了一个动人的故事。,68
